          PartNumber       Quantity   Unit Cost  Unit Price     Total Cost    Total Price
            66125098              44        22.44        28.41          987.36         1250.04
            73638310              31        14.74        19.35          456.94          599.85
            78039357              82        16.45        22.40         1348.90         1836.80
            21094940              53        12.59        17.31          667.27          917.43
            74877073              90        19.64        22.65         1767.60         2038.50
            57630177              38        26.52        29.81         1007.76         1132.78
            22307784              99        14.22        19.97         1407.78         1977.03
            24467721               3        15.72        21.71           47.16           65.13
            47553915              25        19.60        25.24          490.00          631.00
            53717044              66        16.04        20.59         1058.64         1358.94
            57667879              22        16.21        22.04          356.62          484.88
            39458442              23        20.49        26.06          471.27          599.38
            66992188              85        29.40        33.97         2499.00         2887.45
            56411306              64        10.97        16.64          702.08         1064.96
            35537534              60        27.18        32.16         1630.80         1929.60
            81982758              56        10.68        14.84          598.08          831.04
            23026496              35        20.95        24.90          733.25          871.50
            39421903              19        10.45        16.29          198.55          309.51
            24955147             100        15.08        20.76         1508.00         2076.00
            80858072              98        13.32        16.89         1305.36         1655.22
            75268158              29        13.03        18.84          377.87          546.36
            38944334              93        13.73        18.51         1276.89         1721.43
            25725760              15        26.82        32.17          402.30          482.55
            28166727               8        17.58        23.34          140.64          186.72
            86578282              36        29.59        33.51         1065.24         1206.36
            60384491              55        28.17        32.53         1549.35         1789.15
            26383509              27        22.91        27.15          618.57          733.05
            85598406              64        10.32        14.12          660.48          903.68
            81138617              46        15.15        19.76          696.90          908.96
            34171236              19        24.01        29.29          456.19          556.51
            32728517              82        15.43        19.58         1265.26         1605.56
            50295179              88        23.09        28.10         2031.92         2472.80
            75724437              74        23.26        26.87         1721.24         1988.38
            83234292              26        23.80        29.24          618.80          760.24
            43548519              44        13.50        16.95          594.00          745.80
            41818150              51        13.22        18.99          674.22          968.49
            59189425              89        22.54        27.43         2006.06         2441.27
            70178351               1        19.18        24.56           19.18           24.56
            88304184              84        18.55        23.14         1558.20         1943.76
            69855441              96        15.56        18.77         1493.76         1801.92
            66028170              21        17.59        23.57          369.39          494.97
            40160899              46        10.83        14.53          498.18          668.38
            75529079              28        29.27        33.08          819.56          926.24
            32913509              42        11.94        16.43          501.48          690.06
            31641263              48        20.95        26.17         1005.60         1256.16
            57739204               1        23.02        27.52           23.02           27.52
            77086674              85        18.06        23.88         1535.10         2029.80
            43771833              50        18.24        21.52          912.00         1076.00
            56827836              55        15.74        20.17          865.70         1109.35
            15963630               5        29.36        32.93          146.80          164.65
            20766559              15        17.28        21.88          259.20          328.20
            35631998              79        25.89        29.56         2045.31         2335.24
            79170842              16        29.59        34.75          473.44          556.00
            60360685              42        28.86        33.14         1212.12         1391.88
            77430412              70        29.20        34.45         2044.00         2411.50
            14698138              39        15.68        21.08          611.52          822.12
            76502369               7        12.35        16.47           86.45          115.29
            66314342              42        21.79        27.58          915.18         1158.36
            56953445              35        21.16        25.85          740.60          904.75
            22442765              20        14.24        18.39          284.80          367.80
            68324629               6        24.98        30.61          149.88          183.66
            62283911               7        15.50        21.11          108.50          147.77
            31187804              66        20.23        25.46         1335.18         1680.36
            83391843              30        20.31        23.67          609.30          710.10
            69730813              84        12.39        17.64         1040.76         1481.76
            34389249              83        17.68        22.58         1467.44         1874.14
            22231544              65        23.11        28.16         1502.15         1830.40
            56886748              18        24.94        30.92          448.92          556.56
            33686751              46        20.10        23.74          924.60         1092.04
            32945551              21        21.25        26.10          446.25          548.10
            44481271              78        27.03        32.21         2108.34         2512.38
            35304393              38        29.75        33.66         1130.50         1279.08
            11587650              37        10.76        14.92          398.12          552.04
            59333352              73        25.88        29.43         1889.24         2148.39
            76147512              40        24.26        27.40          970.40         1096.00
            75630018              41        10.08        15.68          413.28          642.88
            29257517              83        10.76        13.93          893.08         1156.19
            41610696               9        14.03        17.30          126.27          155.70
            43051474              81        20.39        25.20         1651.59         2041.20
            40749682              96        14.45        19.50         1387.20         1872.00
            77435552              39        12.08        17.33          471.12          675.87
            49263193              93        29.39        34.89         2733.27         3244.77
            16224831              41        11.63        16.47          476.83          675.27
            46132369              64        28.23        32.34         1806.72         2069.76
            34092153               3        23.76        29.20           71.28           87.60
            30174319              22        29.51        33.43          649.22          735.46
            88491828              34        29.57        34.24         1005.38         1164.16
